Name,Guid,Language,LatestVersion,Path
"Forgot Password Page",8707a0b7-4a7d-44e4-abd6-a1ccb21049cf,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Forgot Password Page\{8707A0B7-4A7D-44E4-ABD6-A1CCB21049CF}\en\1\xml"
"Global Folder",fd075cbc-572e-4d27-a09f-b780e8ff4741,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Global Folder\{FD075CBC-572E-4D27-A09F-B780E8FF4741}\en\1\xml"
"Headline",061574e1-59dd-4b62-9680-1c84efbe6773,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Teasers\Headline\{061574E1-59DD-4B62-9680-1C84EFBE6773}\en\1\xml"
"Help",18420296-d8fc-4d93-a79e-2a2b0367a92c,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Help\{18420296-D8FC-4D93-A79E-2A2B0367A92C}\en\1\xml"
"Home",4a8822cc-b418-4452-ab0f-8bb6df2f2114,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Home\{4A8822CC-B418-4452-AB0F-8BB6DF2F2114}\en\1\xml"
"Icon",e90d00b6-0be9-48e0-9c3f-047274024270,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Teasers\Icon\{E90D00B6-0BE9-48E0-9C3F-047274024270}\en\1\xml"
"Image",f0369e1a-9030-4a05-a09c-ef09b664ed27,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Media\Image\{F0369E1A-9030-4A05-A09C-EF09B664ED27}\en\1\xml"
"Indexing",38a2f441-db17-4039-90e2-6a32f7a81706,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Indexing\{38A2F441-DB17-4039-90E2-6A32F7A81706}\en\1\xml"
"Insert Options",823ecf5f-ae72-40b5-bc87-cb425fe7e5f6,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Insert Options\{823ECF5F-AE72-40B5-BC87-CB425FE7E5F6}\en\1\xml"
"Interest",4176bfc2-7814-4fa5-abcf-7fa0714bf05f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Interest\{4176BFC2-7814-4FA5-ABCF-7FA0714BF05F}\en\1\xml"
"Interests Folder",0db13819-7df3-4136-a4b9-0a22b1023ef7,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Interests Folder\{0DB13819-7DF3-4136-A4B9-0A22B1023EF7}\en\1\xml"
"Item Buckets",af530c7b-8b87-458b-80ce-239d1e1b9e60,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Item Buckets\{AF530C7B-8B87-458B-80CE-239D1E1B9E60}\en\1\xml"
"Layout",4d30906d-0b49-4fa7-969d-bf90157357ea,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Layout\{4D30906D-0B49-4FA7-969D-BF90157357EA}\en\1\xml"
"Lifetime",6ef07334-7fba-4845-bf0a-cd5b2000c75a,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Lifetime\{6EF07334-7FBA-4845-BF0A-CD5B2000C75A}\en\1\xml"
"Link Menu",ac7394d5-2aa7-4fdb-a7d8-b1b87f9fa661,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Link Menu\{AC7394D5-2AA7-4FDB-A7D8-B1B87F9FA661}\en\1\xml"
"Link Menu Item",390333c8-751b-4332-84a3-6360b969a19f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Link Menu Item\{390333C8-751B-4332-84A3-6360B969A19F}\en\1\xml"
"Link Token",7defaa26-ed9d-4495-b5f0-0a7620403842,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Demo Tokens\Link Token\{7DEFAA26-ED9D-4495-B5F0-0A7620403842}\en\1\xml"
"Local Datasource Folder",fff5f245-ffc0-4022-a998-9b07aa5e761f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\LocalDatasource\Local Datasource Folder\{FFF5F245-FFC0-4022-A998-9B07AA5E761F}\en\1\xml"
"Login Page",ecc4e901-9c5f-4043-b11e-cfa868d1bb73,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Login Page\{ECC4E901-9C5F-4043-B11E-CFA868D1BB73}\en\1\xml"
